service,group,item,price_min,price_max,display_price,add_on,popular,custom_quote,estimated_labor_min_minutes,estimated_labor_max_minutes,pricing_bucket,target_platform_gross,standalone_rule,recommended_action,assumption_notes
TV Mounting,Window Treatments,Blind install - per additional window,25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Window Treatments,Cellular shade / roller shade install (per window),75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Window Treatments,Motorized blind / shade install (per window),79,79,$79,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect one-window jobs with minimum booking.
TV Mounting,Mounting Add-ons,TV mount hardware (if not provided),25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Mounting Add-ons,HDMI / cable routing to components,25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
TV Mounting,Mounting Add-ons,Soundbar mount (below/above TV),35,35,$35,Yes,No,No,20,40,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit mounting add-on.
TV Mounting,Mounting Add-ons,Patch drywall after unmount (small),45,45,$45,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Smart Home,Climate Control,"Smart thermostat - Nest, Ecobee, Honeywell",79,79,$79,No,Yes,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,"Smart thermostat (no C-wire, adapter needed)",99,99,$99,No,No,No,60,105,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wiring can change scope.
Smart Home,Climate Control,Smart vent install (per vent),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,Smart AC controller (window / mini-split),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Climate Control,Whole-home thermostat multi-zone (per zone),75,75,$75,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,"Smart doorbell - Ring, Nest, Eufy",85,85,$85,No,Yes,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,Smart doorbell (hardwired replacement),95,95,$95,No,No,No,50,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Existing wiring matters.
Smart Home,Security & Access,Smart lock - deadbolt replacement,95,95,$95,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Door alignment can add time.
Smart Home,Security & Access,Smart lock - lever handle,95,95,$95,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Door alignment can add time.
Smart Home,Security & Access,Smart lock + deadbolt combo,135,135,$135,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Door alignment can add time.
Smart Home,Security & Access,Smart garage door opener / controller,75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Security & Access,Keypad entry install (outdoor),75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
Smart Home,Cameras,Indoor security camera (plug-in),75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Cameras,Indoor camera (mount + cable manage),79,79,$79,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Cameras,Outdoor camera - eave / soffit mount,95,95,$95,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall/eave material matters.
Smart Home,Cameras,Outdoor camera - brick / concrete,95,95,$95,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall/eave material matters.
Smart Home,Cameras,Camera system - 2 cameras,135,135,$135,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Mounting plus app setup.
Smart Home,Cameras,Camera system - 4 cameras,225,225,$225,No,Yes,No,150,270,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Route wires/app setup can extend time.
Smart Home,Cameras,Camera system - 6+ cameras,295,375,$295-$375,No,No,No,180,360,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,High variance; likely premium/custom.
Smart Home,Cameras,NVR / DVR setup + camera config,95,95,$95,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
Smart Home,Lighting,"Smart bulb install + app setup (per room, up to 4 bulbs)",75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Lighting,Smart switch install (per switch),75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Electrical skill and wiring risk matter.
Smart Home,Lighting,Smart dimmer install (per switch),79,79,$79,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Electrical skill and wiring risk matter.
Smart Home,Lighting,Smart plug install + setup (per 2 plugs),75,75,$75,No,No,No,25,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Lighting,LED strip lighting - per 10 ft run,75,75,$75,No,No,No,45,90,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Surface prep and placement matter.
Smart Home,Lighting,Outdoor smart lighting (per fixture),79,79,$79,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,App setup and troubleshooting can extend time.
Smart Home,Network & Hubs,Wi-Fi router setup + optimization,75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Network & Hubs,Wi-Fi extender / mesh node install (per node),75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Network & Hubs,"Mesh network (3-node setup, full home)",125,125,$125,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Home size and testing matter.
Smart Home,Network & Hubs,"Smart home hub setup (Alexa, Google, Apple)",75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Network & Hubs,Smart home hub + device automation setup,115,115,$115,No,No,No,60,100,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Configuration time matters.
Smart Home,Network & Hubs,"TV streaming device setup (Apple TV, Roku, Fire)",75,75,$75,No,No,No,30,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Smart Home,Add-ons,App setup + walkthrough (per platform),25,25,$25,Yes,No,No,10,30,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit digital setup add-on.
Smart Home,Add-ons,Voice assistant integration (Alexa / Google),25,25,$25,Yes,No,No,10,30,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit digital setup add-on.
Smart Home,Add-ons,Automation / routine programming (per device),15,15,$15,Yes,No,No,10,30,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit digital setup add-on.
Smart Home,Add-ons,Device migration (old to new system),35,35,$35,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Outdoor & Playsets,Playsets & Backyard Structures,Swing set / backyard playset assembly,249,249,$249,No,Yes,No,240,480,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,"Weather, yard slope, and kit size drive variance."
Outdoor & Playsets,Playsets & Backyard Structures,Trampoline assembly,165,165,$165,No,No,No,120,210,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Model size drives variance.
Outdoor & Playsets,Playsets & Backyard Structures,Pergola / gazebo kit assembly,275,375,$275-$375,No,No,No,240,600,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Often needs custom quote if large or anchored.
Outdoor & Playsets,Playsets & Backyard Structures,Storage shed (small kit),249,349,$249-$349,No,No,No,180,420,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Foundation/leveling can change scope.
Outdoor & Playsets,Playsets & Backyard Structures,Monkey bars / climbing frame,225,225,$225,No,No,No,180,360,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Safety/anchoring check needed.
Outdoor & Playsets,Playsets & Backyard Structures,Sandbox / outdoor playhouse,145,145,$145,No,No,No,90,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Assembly complexity varies.
Outdoor & Playsets,Sports & Recreation,Basketball hoop assembly,179,179,$179,No,No,No,120,240,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Portable vs in-ground matters.
Outdoor & Playsets,Sports & Recreation,Outdoor swing / glider set,145,145,$145,No,No,No,90,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Assembly complexity varies.
Outdoor & Playsets,Sports & Recreation,Patio swing / hanging chair,125,125,$125,No,No,No,90,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Assembly complexity varies.
Outdoor & Playsets,Sports & Recreation,Portable pickleball / sports net setup,95,95,$95,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Route economics matter.
Outdoor & Playsets,Add-ons,Anchoring / leveling / safety hardware,75,75,$75,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Depends on wall/floor material.
Outdoor & Playsets,Add-ons,Disassembly before move or pickup,95,95,$95,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Outdoor & Playsets,Add-ons,Same-day / rush outdoor assembly,75,75,$75,Yes,No,No,0,0,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Pricing modifier, not labor by itself."
Outdoor & Playsets,Add-ons,Heavy-duty material haul-away,85,85,$85,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Depends on stairs, parking, and volume."
Office Assembly,Desks & Workstations,Desk (simple flat-pack),95,95,$95,No,No,No,60,100,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Standard office build.
Office Assembly,Desks & Workstations,Desk (L-shape / executive),145,145,$145,No,Yes,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,More complex than simple desk.
Office Assembly,Desks & Workstations,Standing desk (electric),155,155,$155,No,No,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Motorized desk setup and testing.
Office Assembly,Desks & Workstations,Cubicle workstation / multi-desk setup,275,395,$275-$395,No,No,No,180,360,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Business-account candidate.
Office Assembly,Seating & Storage,Office chair (standard),75,75,$75,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Office Assembly,Seating & Storage,Office chair (ergonomic / heavy-duty),85,85,$85,No,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Office Assembly,Seating & Storage,Bookcase / shelving unit (up to 5 shelves),85,85,$85,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Office Assembly,Seating & Storage,Bookcase / shelving unit (6+ shelves),105,105,$105,No,No,No,60,100,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Wall anchoring add-on may apply.
Office Assembly,Seating & Storage,File cabinet (2-4 drawer),75,75,$75,No,No,No,30,60,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Protect with minimum booking.
Office Assembly,Seating & Storage,Credenza / sideboard,125,125,$125,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Standard/premium depending size.
Office Assembly,Conference & Specialty,Conference table,175,225,$175-$225,No,No,No,120,210,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Large table handling can require two people.
Office Assembly,Conference & Specialty,Reception desk / front counter,275,425,$275-$425,No,No,No,180,300,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,Business-account candidate.
Office Assembly,Conference & Specialty,Wall-mounted storage / overhead cabinet,95,95,$95,No,No,No,60,120,Standard,$35-$50 before overhead,Needs minimum booking or bundle review,Protect with $99-$119 platform minimum or bundle,Wall type matters.
Office Assembly,Conference & Specialty,Office partition / divider install,145,145,$145,No,No,No,90,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Scope varies by mounting and layout.
Office Assembly,Add-ons,Cable management / cord routing,25,25,$25,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Office Assembly,Add-ons,Wall anchoring / anti-tip hardware,35,35,$35,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Depends on wall/floor material.
Office Assembly,Add-ons,Rush / same-day office assembly,55,55,$55,Yes,No,No,0,0,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Pricing modifier, not labor by itself."
Office Assembly,Add-ons,Furniture disposal / haul-away,45,45,$45,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Depends on stairs, parking, and volume."
Fitness Equipment,Cardio Equipment,Treadmill assembly,149,149,$149,No,Yes,No,90,150,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Model weight and stairs matter.
Fitness Equipment,Cardio Equipment,Exercise bike / Peloton-style bike,139,139,$139,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Peloton-style bikes often faster than generic bikes.
Fitness Equipment,Cardio Equipment,Elliptical machine,159,159,$159,No,No,No,105,180,Premium,$50-$75 before overhead,Can sell standalone if route economics work,Track model-specific duration; consider model-based price bands,Large parts and calibration can extend time.
Fitness Equipment,Cardio Equipment,Rowing machine,149,149,$149,No,No,No,75,120,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Usually standard unless commercial model.
Fitness Equipment,Strength Equipment,Weight bench,95,95,$95,No,No,No,45,75,Standard,$35-$50 before overhead,Do not sell standalone unless minimum booking applies,Protect with $99-$119 platform minimum or bundle,Can be quick; protect with minimum booking.
Fitness Equipment,Strength Equipment,Power rack / squat rack,179,179,$179,No,No,No,120,210,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,May need anchoring or second-person handling.
Fitness Equipment,Strength Equipment,Dumbbell / weight set assembly,115,115,$115,No,No,No,60,105,Standard,$35-$50 before overhead,Can sell standalone if route economics work,Validate labor time and Easer effective hourly after launch,Depends on rack and package count.
Fitness Equipment,Strength Equipment,Home gym / cable machine,249,349,$249-$349,No,No,No,180,360,Complex,$75-$150+ before overhead,Can sell standalone if route economics work,Review actual labor after each job; quote upward if scope varies,High variance; may require custom quote.
Fitness Equipment,Strength Equipment,Multi-station gym,,,Custom quote,No,No,Yes,180,480,Custom quote,Custom quote,Custom quote required,"Quote manually by labor, travel, complexity, and risk",Unknown scope; quote manually.
Fitness Equipment,Add-ons,Disassembly before move or storage,49,49,$49,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Fitness Equipment,Add-ons,Floor leveling / placement support,35,35,$35,Yes,No,No,15,35,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Same-visit add-on.
Fitness Equipment,Add-ons,Safety anchoring / wall securing,45,45,$45,Yes,No,No,20,45,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,Depends on wall/floor material.
Fitness Equipment,Add-ons,Same-day / rush fitness assembly,65,65,$65,Yes,No,No,0,0,Quick,"$30-$40 after processing, usually protected by $99-$119 minimum",Same-visit add-on only unless bundled,Keep as add-on; test higher price if attach rate is strong,"Pricing modifier, not labor by itself."
Other,Custom Project,Describe your project in the notes below (custom quote),,,Custom quote,No,No,Yes,180,480,Custom quote,Custom quote,Custom quote required,"Quote manually by labor, travel, complexity, and risk",Unknown scope; quote manually.